position_x	y_pos1	y_pos2	y_pos3	y_pos4	y_pos5	y_pos6	y_pos7	y_pos8	y_pos9	y_pos10	y_pos11	y_pos12	y_pos13	y_pos14	y_pos15	y_pos16	y_pos17	y_pos18	y_pos19	y_pos20	y_pos21	y_pos22	y_pos23	y_pos24	y_pos25
x_pos1	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	1
x_pos2	1	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0
x_pos3	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1
x_pos4	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1
x_pos5	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0
x_pos6	0	1	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0
x_pos7	1	0	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	0
x_pos8	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0
x_pos9	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	1	1	1
x_pos10	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1
x_pos11	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0
x_pos12	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0
x_pos13	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	1	1	1
x_pos14	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	1
x_pos15	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	1
x_pos16	0	0	0	1	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0
x_pos17	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1
x_pos18	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0
x_pos19	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0
x_pos20	0	1	0	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0
x_pos21	0	1	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0
x_pos22	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0
x_pos23	0	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1
x_pos24	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0
x_pos25	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1
