gene	0h	3h	12h	24h	48h
Lta	10,95423927	4,739575021	4,439792361	7,121538441	5,297892895
Enpep	9,796265481	4,999029024	3,211798855	3,45323717	2,914270921
Tmem119	11,49036057	6,70004801	6,800511114	7,654353599	9,097486233
Ighg	8,687566482	4,046233779	3,284030448	3,22098721	3,188849671
Senp7	8,131302072	3,982709447	6,196445271	6,838898811	6,679607479
Rag1	7,006298363	2,859202011	2,739302414	2,695508066	2,842100853
Klhl14	6,760846677	2,716157061	2,498999753	2,697175443	2,277781998
Asb2	9,544294192	5,562335886	6,2751833	7,228141925	5,381682231
Rag2	6,89902596	3,224224688	3,099742336	3,444300048	3,292197732
Cd79b	12,19758467	8,556062716	9,0368995	10,67413739	10,42331201
Foxo1	10,11483836	6,534592095	6,778283278	6,438415621	6,646299294
