gene	0h	3h	12h	24h	48h
Enpep	9.796265481	4.999029024	3.211798855	3.45323717	2.914270921
H19	12.65791593	12.94889801	10.95786192	6.788168175	6.144475615
Mki67	10.21318777	11.47101914	10.96478216	8.578652811	3.970524841
Cth	10.12324508	8.296907054	7.956692655	5.649231051	4.298075517
Lta	10.95423927	4.739575021	4.439792361	7.121538441	5.297892895
Ccnb2	9.084136605	10.51444028	10.39007459	8.353829125	3.533870484
Crisp3	8.478818806	5.805034718	3.393372311	2.791189215	2.942273148
affy_1455530_at	9.921722431	7.60780954	5.910597547	4.190900278	4.395604031
Birc5	9.133602668	10.53933356	9.945860663	7.771022336	3.62294296
Ighg	8.687566482	4.046233779	3.284030448	3.22098721	3.188849671
Ube2c	9.451923089	10.90348735	10.77687156	9.024050952	3.971897996
Tac4	9.227750485	7.557521181	6.055264516	5.498225455	3.760466386
Trim66	8.584357099	5.026227849	5.315924797	4.003979404	3.118686459
Pfn2	9.482848305	8.604842505	6.853953813	4.485686758	4.073163657
Ccnb1-rs1	8.664271457	10.40535249	9.572388493	7.340801696	3.487310115
3000002B06Rik	8.95245009	7.528599242	5.62438236	4.088328914	3.865908476
Txnrd3	10.36622793	8.780672889	6.207001553	5.89399803	5.415344203
Rad51	7.919245854	9.49970054	9.212739556	4.725213712	3.076643888
Rrm2	8.905650157	11.28968566	10.77691781	6.011445803	4.069596846
Cr2	8.256747106	7.226645654	3.687989612	3.949738454	3.431228953
Pbk	9.088403962	11.10451949	9.589847789	6.154253382	4.303692725
4930486G11Rik	7.931426692	6.718645608	4.227987437	2.911569927	3.158546349
Cox6a2	9.561122541	6.667652301	5.642984952	5.566798183	4.803083797
Akp2	9.855850733	8.830432197	7.128278136	5.614688778	5.101691652
Il7r	10.63335464	7.762475987	5.563183659	4.692607085	5.943372214
Ccna2	8.923873947	10.72591663	10.02499611	7.62609743	4.312686139
Vpreb3	11.59189691	10.91473748	7.938514805	8.238286713	6.987242705
Spib	9.149573783	5.778122774	6.919919062	5.299990947	4.590064725
Vpreb2	12.21840337	10.08037226	8.70784848	8.155845047	7.674939559
Klhl14	6.760846677	2.716157061	2.498999753	2.697175443	2.277781998
4631408O11Rik	7.986064914	7.390077401	4.626687808	4.04169313	3.512366899
Slc7a3	9.743700806	7.125990927	6.021682016	5.885333147	5.300699649
Cd24a	11.28482358	11.00400804	9.230983922	8.354089267	6.852816909
Zwilch	7.857019952	9.001639987	8.787242819	5.807037279	3.476895189
affy_1436039_at	9.381862172	6.351198977	5.314275499	5.222342543	5.004239962
Depdc1a	6.184297594	8.033495632	7.044596914	4.399512344	1.826968409
Stmn1	8.240649368	10.1523187	9.792869507	7.264760917	3.896430473
6430550H21Rik	7.407396032	4.527976769	3.187671526	2.940895608	3.080251103
Ckap2	8.354105269	9.187297382	8.37121966	6.26771984	4.042434807
Cd244	7.379503077	4.905351651	3.137754316	3.133836576	3.079820646
Kif22	7.669875348	9.524369365	8.716932525	6.076016039	3.371384314
Cep55	6.97217202	8.123862951	7.743061516	5.356883383	2.680304485
Ect2	7.461324493	9.28712218	8.475715688	5.984477948	3.223960266
Kntc2	8.304648664	8.464878412	7.641152051	4.91007686	4.084433364
D17H6S56E-5	10.05032563	9.552710725	8.8784519	7.000381593	5.842731271
2810406C15Rik	8.16735327	9.554286807	9.103865125	6.577269043	3.976211447
D12Ertd647e	9.474763807	8.232409439	8.921769378	9.402794192	5.286191144
Bub1b	8.687459422	9.801417719	9.782542357	6.987289921	4.520326914
Apex1	10.82391077	10.03358551	9.157256164	7.808608103	6.656963352
Rag1	7.006298363	2.859202011	2.739302414	2.695508066	2.842100853
Asb2	9.544294192	5.562335886	6.2751833	7.228141925	5.381682231
Tnnt2	7.750361846	7.736743946	6.74525834	5.678168559	3.590605849
Bcat1	9.131316906	8.699355656	8.122665006	7.095464029	5.107464105
Dctd	7.207473447	5.968582239	5.10669924	3.698992881	3.198978827
Ndg2	12.63072439	11.76239592	10.28693956	9.99790788	8.622488824
Umod	6.817386645	6.203827377	4.071597391	3.022275749	2.820769742
Ttll11	9.89759821	6.606671675	5.791885967	5.855514552	5.910894071
Epb4.1l4b	8.164298434	5.613948722	4.833006703	4.476275176	4.206482877
Cenph	6.644733761	8.136734633	7.538232859	4.016709813	2.735190315
